input,labels
I am reading score of Mahler is Symphony No . .,0
I am not interested in cars or electric appliances .,1
This is my homework for my English class .,0
"In comparison , Canada is catches increased and decreased at steadier rate , although similarly to US .",0
"Fortunately , my older sister is friend is a dentist .",1
"Also , some recycling methods for plastics use more oil to use machinery than making new one from oil .",1
Comparison Contrast,1
See you .,0
Talking with Kyouke from about to .,1
biodiversity n .,0
I understand it is a dream .,1
I request many things to her so often .,0
Working - Holiday is a system for youngmen to taravel abroad with working in some country .,0
Nice to meet you .,0
Is not that easier than the Taiwanese one ?,1
I could not write diary for long time .,0
And my ankle and knee are in pain . It is very painful .,1
He was fidgeting on his way .,0
 A house . ,0
And I am addicted to it very much ,1
Please correct my mistakes .,0
"Second one , vocabulary , is fun too .",0
I think he came here to teach us lessons .,1
I grasped my belly which was stuffed with the soup and peach .,1
"But first I visited Paris myself for nights . to travel along was my first experience , feel was so lonely . ",0
Until that night was going to end with no stars,1
 - One of my colleagues found the program for us .,0
The new house is not so uncomfortable and we are relax here .,0
I do not know how to explain the difference between Koreans and others .,1
The person who has the same name might be harmed by such things as bullying .,1
but my weight still remains to be the same .,1
"Rainy Season , ",0
"In India is life , we need auto rickshaws .",1
I hate this typical blood running everyone is body .,0
Hmm . My iPhone is always with me even at work .,1
Let is try this game please tell me your impressions !,1
It is not bad to learn something new brought by the stars .,1
I have some friens in N .,0
I gave her a present .,1
so i have to try to diet to tomorrow .,0
Thanks for reading of my diary .,0
I am sure they are going to be a great couple .,1
But they still have a chance .,1
I am writing my first diary to know how useful this service is .,0
"She has a baby girl , and she has a plan . She wants her baby to be raised as a bilingual who can speak both Japanese and English fluently .",1
"The surgery took a short time , almost mins and there was no pain but it was scary .",1
we have a listening lesson this afternoon .,1
"In the hospital , for example , we ca not use cellular phones because they have a bad influence on medical devices or people with heart diseases .",1
"People who have good language skills tell me that we have to start with listening , then speaking , reading and writing , a similar pattern to how we learn our native language .",1
The price of the smell ?,1
And with their crossed eyes they throw sparks to burn the stupid guys that do not want to study .,0
My name is Takahiro .,1
Monkey What is a good thought !,0
 - He is as green .,1
I am proud of myself to be a Japanese person when people talk about Japanese anime or so .,1
Then I prepare the calculation of work in progress and the cost of production is corrected by changes in inventory of finished products and work in progress .,1
Digital art is communicative and interactive .,0
"On Sunday I went for a walk with my flatmate . She is like my sister here , so we just went for a walk and had some coffee and then I went back to my flat .",1
Do you think so ?,1
 The diary helps you remember what it was like to be you at different stages of your life .,0
Why my body like this sick ?,0
He is a man from Japan .,1
"Finally , I became an English teacher for kids .",1
I do not want to do my homework again for today .,1
"After that , I did shopping and I bought the food for tonight , drinks , snacks the foods for week .",0
sometimes my son can speak some English with me .,0
 - never injure a friend ,1
I am going to jot down something that happened or something I thought every day from today .,1
She had an enjoyable time with her grandfather and grandmother immediately .,1
"Although almost all are sentences , recently I think it is the shortest way for improving my speaking English that I memorize sentences and use modified sentences that I change in line with which I want to talk .",0
because any one tasty in japanese foods .,0
My friend say ' It is also good for Japanese to watch Japanese movies with English subtitles .,0
"Anyway , I want to enjoy watching their dancing tomorrow .",0
Here is a part from the episode Four Funerals and a Wedding,1
hobby soccer and swimming,0
"Second , because you are able to read .",0
